line,words,questions,on,processes,icons
1,
2,        
3,
4,        [00:00:00] PART 1
5,
6,"DB:	Well, let's put that right there. And that one, it has like an auto level, so that should work and I can see it. So that's nice. Usually I get really nervous about thirty minutes in. Is it going? One time, one wasn't going, which really made me anxious. That's why I have two."
7,
8,"SS:	So these are the questions?"
9,
10,"DB:	Yeah, these are the questions and it's pretty open-ended. There are sort of a couple of parts to it. The first part is meant to be quickly going through your current practices for your digital files. It's based on a survey that I've done online with a bunch of emerging writers, and that I'm asking all the participants in this as well. and then we'll talk kind of specifically about your writing processes for probably the majority. There are questions about computing and computers. Usually we cover those, but sometimes, I go through those a little bit too if we have gone through those things and I want to ask a few more. Does that sound okay? Do you have to go somewhere or anything? Everyone has been an hour and fifteen to an hour and forty-five, right in there. So if you would please state for the recording devices your name and our location."
12,
13,"SS:	It's Stephanie Strickland, New York City."
14,
15,"DB:	Okay. In this section, I ask what you write and what you use to write it. This is about how you compose currently. What genres do you write in?"
16,
17,"SS:	I do books of poetry and I write critical essays, and I write&#8212;I make&#8212;usually collaboratively born digital works."
18,
19,"DB:	Okay. Would you say you have a primary genre?"
20,
21,"SS:	Poetry."
22,
23,"DB:	What kind of devices do you own or have access to for your writing?"
24,
25,"SS:	Pens, pencils. There's four computing devices in this one room. I keep an old XP Machine going&#8212;with difficulty, these days. I liked Word 2003. I managed to get that and Word 2007 on that machine, and then I have a little small Acer, which is underneath there, which is actually probably the most advanced, but again, it's Word 2007 is on there that I write with, and it's for travel. And then since the last thing I made was an app for iPad, I was forced to buy an iPad&#8212;show the thing on it!  So that's over there, a mini."
26,
27,"DB:	A mini? That's what I have."
28,
29,"SS:	But I do not write on it."
30,
31,"DB:	You don't write on it, right?"
32,
33,"SS:	No."
34,
35,"DB:	Okay. So, the operating systems you're using are mostly Windows?"
36,
37,"SS:	XP and Windows 7."
38,
39,"DB:	Do you work on the different devices? And how do you work between&#8212;I guess, if you have all these devices, what is your style for going between them?"
40,
41,[3:09]
42,
43,"SS:	Well, if I'm generating new material, I will certainly do a certain amount of writing by hand. I capture, at various points, the material in a Word processing program. The one I work with most intuitively is Word 2003. I'm annoyed at all the extra ridiculous functionality."
44,
45,"DB:	At least there is no clippie, right?"
46,
47,"SS:	Yeah, I mean there's too much&#8212;it's not directed for what I want to do, and it doesn't handle other things&#8212;like Photoshop would&#8212;"
48,
49,"DB:	Yeah."
50,
51,"SS:	But nonetheless, it's not supported anymore as with so much of the software that I once used. So I capture it at different points, certainly capturing it online is much better for sharing it and editing it to a degree, but it's not particularly good for through-line."
52,
53,"DB:	What do you mean by that?"
54,
55,"SS:	Well, if you're writing something long with a complex argument, I think it's much easier to read and have it in front of you on paper and read it out, because it's very easy to go into a ""collaging"" kind of style of stuff with stuff that's going to be published online. It's harder to get a really consecutive&#8212;long, consecutive argument made, I think, or a thought, and it's not fluid enough to do poetry. I mean, it restricts you way too much in terms of formatting compared to what you can do on a page by hand in terms of how you want to scratch things out or put something right in&#8212;"
56,
57,[00:05:00]
58,
59,"SS:	there's no arrow, insert, none of that. So it's neither&#8212;so there's a loss from both perspectives, but obviously from the point of organizing it and sharing it and necessarily sending it on for publishing these days and everything, it has to be done in&#8212;yeah. Long, long ago, I get used to doing that. It took me a long time to get there, though, because I started on a manual typewriter and then getting an IBM typewriter was a big thing, you know. "
60,
61,"DB:	Yeah."
62,
63,"SS:	Just like I've used many, many writing technologies."
64,
65,"DB:	I mean that's really the impetus for this. I was just thinking about the thing I did earlier, then I started thinking about writers like yourself who have been writing over this course&#8212;this is a very interesting time for writing poetry."
66,
